"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","-","1500.00","-","1550.00","-","-","1500.00","-","-","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","-","40.66","42.28","51.61","65.99","-","41.60","53.28","50.00","50.00"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","123.24","143.01","139.76","172.47","139.94","118.31","128.31","163.27","193.10","152.83"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","-","389.74","440.00","549.94","367.49","-","-","450.00","315.82","343.20"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","456.57","397.91","308.64","579.77","417.49","350.00","356.64","466.08","396.47","322.69"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","-","-","-","-","-","-","-","-","416.02","416.02"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","-","-","-","-","-","-","-","-","-","-"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","36.59","41.60","35.00","46.42","23.99","26.57","48.27","50.00","40.00","39.32"
"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","140.00","124.16","130.00","130.00","140.00","-","125.00","135.33","140.83","145.00"
"2","CONSTRUCTION MATERIALS","Lime","","-","-","-","-","-","-","-","-","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","1.20","1.05","1.50","2.40","1.80","-","2.33","2.33","2.73","1.88"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","36.00","35.00","32.66","34.99","32.50","35.33","31.32","40.00","33.25","31.32"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","64.33","58.15","55.00","67.64","50.50","56.62","50.66","60.00","55.00","50.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","116.67","118.31","122.00","104.67","117.00","112.50","114.32","118.00","-","128.99"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","-","17.31","28.60","26.99","46.99","37.61","26.30","29.66","35.97","30.31"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","-","133.31","130.00","143.26","109.00","-","140.00","140.00","151.65","123.31"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","-","231.65","240.00","253.29","-","-","246.62","246.62","248.25","238.32"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","289.83","250.00","-","-","-","-","-","180.00","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","-","9.33","-","8.33","11.20","-","7.60","-","11.00","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","4.00","-","8.66","-","-","-","-","4.75","6.00"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","163.32","170.00","158.32","-","-","-","160.00","173.27","170.00"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","220.00","-","339.90","230.00","-","222.49","-","241.66","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","175.00","158.26","-","246.62","185.00","-","-","-","-","167.48"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","-","-","-","-","-","-","150.00","249.95"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","76.52","-","-","67.00","-","-","-","138.31","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","55.00","44.58","44.37","43.09","-","-","-","-","46.23","85.00"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","5300.00","-","-","-","-","3789.07","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","136.84","150.00","60.00","153.21","-","-","-","143.26","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","138.66","133.31","130.00","150.00","-","165.00","114.93","140.00","158.01","123.31"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","142.48","133.31","-","160.00","-","-","153.26","150.00","148.31","120.00"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","184.93","-","-","-","-","170.00","140.00"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","135.00","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","414.86","-","426.17","250.00","-","-","430.00","474.34","400.00"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","-","916.37","972.50","925.00","-","-","691.57","622.74"
"1","WATER","Water","Meter ","5.40","3.25","4.70","-","5.34","3.20","5.00","4.40","3.50","3.25"
"2","FUEL AND POWER","Fire Wood","Meter ","273.79","227.92","249.44","302.03","231.17","160.29","-","196.36","360.42","404.21"
"3","FUEL AND POWER","Charcoal","","5.04","5.94","3.51","6.19","3.34","-","5.00","6.53","-","4.94"
"4","FUEL AND POWER","Dung Cake","","-",".84","-","-","1.15","1.48","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","14.19","14.12","14.17","14.00","17.03","-","13.93","14.03","13.55","13.87"
"6","FUEL AND POWER","Diesel","","17.25","18.17","17.23","16.92","19.33","-","16.99","17.09","16.61","16.51"
"7","FUEL AND POWER","Electric","",".27",".27",".27",".27",".27",".27",".27",".27",".27",".27"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","572.92","-","-","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","-","5.00","5.16","5.66","5.00","6.00","-","5.16","5.31","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","766.31","1345.53","666.26","1674.81","1663.13","-","714.00","631.64","814.33","682.92"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","432.67","464.16","429.45","632.89","319.90","-","524.40","293.18","516.14","374.44"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","-","-","-","-","-","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","2865.14","3466.34","3131.89","2866.57","3074.93","3000.00","2366.19","3466.34","3761.00","3361.24"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","1266.45","1365.84","1297.43","2283.21","3048.28","3200.00","1930.98","2000.00","3324.70","2064.56"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","12664.49","12324.48","12317.34","10800.82","12673.79","-","9830.48","-","15639.05","-"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","-","881.09","914.58","1265.15","2641.48","-","-","698.81","883.01","971.88"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","-","1983.19","-","2299.64","2523.20","-","-","-","-","1894.54"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","218.32","195.98","220.00","251.66","-","-","289.83","230.00","-","-"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","-","-","320.00","453.31","347.49","-","-","-","403.31","369.86"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","-","-","-","-","-","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","-","248.32","-","281.66","329.97","-","-","284.96","396.64","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","-","1266.45","-","1126.48","1254.99","-","-","850.00","1000.00","1017.35"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","-","-","-","97.47","-","-","-","71.63","50.00"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","124.81","107.47","110.00","131.65","-","-","112.47","-","106.56","123.31"
"8","EARTHEN WARE","Plastic tile","m","-","60.00","-","52.99","-","-","50.00","65.00","63.29","58.28"
"9","EARTHEN WARE","Water Pot","","-","26.57","28.31","37.96","17.16","-","29.32","20.65","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","-","13.28","14.30","15.33","10.49","7.32","6.65","-","15.64","15.00"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","28.65","53.28","37.28","44.65","29.99","26.57","32.66","27.26","61.62","53.13"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","-","-","56.59","73.32","46.99","48.27","-","48.32","48.27","50.00"
"13","EARTHEN WARE","Cup for Coffee (China)","","5.00","3.59","5.00","5.00","6.16","5.65","7.00","4.66","5.00","4.00"
"14","EARTHEN WARE","Plate Clay (imported)","","-","-","-","40.66","28.98","-","-","-","32.40","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","15.66","26.32","26.30","28.65","47.00","-","25.96","28.99","25.96","33.31"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","7.65","10.00","9.32","7.00","6.16","9.65","10.00","9.00","12.00","12.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","45.98","38.06","43.32","52.63","64.99","50.00","42.98","40.00","47.22","45.98"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","-","35.97","45.00","45.33","45.99","-","-","-","35.00","38.26"
"19","METAL WARE","Electric 'Mitad' Aluminium","","-","1300.00","-","1449.43","-","-","-","-","1174.73","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","146.59","126.58","144.94","146.65","152.48","150.00","143.01","138.31","146.59","-"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","-","-","-","-","190.00","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","-","-","-","6049.86","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","37.32","37.61","40.00","44.66","42.99","40.00","40.00","39.66","40.66","39.32"
"6","GLASS WARE","Glass for Tea (Duralex)","","-","7.32","-","7.16","8.75","-","7.65","-","-","7.00"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","-","-","65.99","65.00","-","70.00","87.46","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","-","-","-","-","4.25","-","-","-","-","-"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","-","24.31","-","12.49","-","-","-","30.00","33.25"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","12.32","9.28","11.32","10.66","10.32","12.32","12.00","11.66","13.30","10.00"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","8.00","4.66","5.00","6.50","7.00","7.00","6.83","4.55","7.00","6.32"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","-","-","10.00","-","8.80","10.40","-","-","8.66","8.80"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","4.17","4.17","4.17","-","3.33","4.71","3.59","4.17","4.57","-"
"14","HOUSEHOLD OPERATION","Incense","","-","100.00","120.00","120.00","-","-","94.87","-","-","-"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50",".40",".50",".46",".50",".50",".75",".50",".50",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","9.32","8.65","9.32","9.00","8.83","10.63","8.83","9.00","9.32","9.65"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.25","2.16","2.21","2.25","2.25","2.50","2.25","2.41","2.25","2.08"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","30.00","41.60","-","43.09","-","-","42.43","40.00","50.00","30.00"
"2","DOMESTIC SERVICE","Maid Servant","M","106.27","100.00","189.45","193.10","99.67","-","165.10","193.10","232.08","250.00"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","40.00","30.00","33.25","46.42","22.36","30.00","30.00","48.27","35.00","40.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","-","-","-","-","-","-","-","200.00","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","25.03","-","28.00","29.75","28.00","-","-","29.75","28.00","30.58"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","20.70","25.99","19.74","20.35","25.04","-","20.35","22.40","16.80","19.22"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","6.95","8.65","8.00","7.48","8.37","-","7.96","7.32","8.65","-"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","34.47","-","-","16.80","30.30","-","36.98","35.42","-","-"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.00","4.00","4.00","4.00","3.46","-","4.58","4.00","3.63","3.63"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","17.77","23.31","20.00","20.88","30.00","-","27.39","18.64","19.93","20.98"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","9.00","12.00","10.39","12.48","9.49","-","9.91","9.00","9.00","9.00"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","4.00","3.91","4.31","4.00","-","-","6.00","4.93","4.00","-"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","10.90","10.43","10.90","10.90","15.00","-","15.00","11.74","9.00","12.93"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","4.00","4.16","4.00","4.58","3.00","-","6.00","4.90","3.30","3.46"
"15","MEDICAL CARE","Insulin(Lente)","Butt","-","-","-","76.97","-","-","-","76.63","65.00","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","14.60","18.07","16.00","16.00","19.60","-","18.65","16.00","15.20","16.49"
"17","MEDICAL CARE","Magnesium Oxide","30 P","6.00","6.87","-","6.00","6.00","-","-","6.87","6.00","6.32"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","2.00","-","-","-","1.67","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","8.00","15.00","4.00","-","8.00","3.00","7.00","7.00","4.00","7.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","10.00","16.51","10.00","-","-","-","10.00","10.00","11.45","11.45"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","2.00","2.45","2.00","2.00","-","-","2.00","2.00","2.00","3.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","8.94","11.29","10.00","21.54","-","-","6.00","7.05","5.59","7.88"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","20.00","30.00","15.00","-","20.00","5.00","15.00","15.00","5.00","10.00"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","74.83","-","76.12","-","-","-","74.83","-","-"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","65.42","-","100.00","-","-","45.00","-","-","-"
"5","TRANSPORT","Benzene","","-","19.47","19.53","19.22","19.33","-","19.29","-","-","-"
"6","TRANSPORT","Motor Oil (Mobil)","","72.46","83.00","80.00","82.00","80.00","-","68.66","76.52","80.00","82.00"
"7","TRANSPORT","Car Washing and Greasing","","-","80.00","-","70.00","-","-","-","-","70.00","-"
"8","TRANSPORT","Bus Fare (per km)","T","-",".30","-",".30","-","-","-",".30",".27","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","1.00","-","-","-","-","-","-"
"10","TRANSPORT","Taxi Fare ","","-","1.30","-","2.00","1.50","-","-","-","-","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","1031.00","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","124.93","53.13","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","1.00","-","-","-","-","-","-","2.00","1.00"
"14","COMMUNICATION","Telephone Charge (with town)","Pe",".20",".20",".20",".20",".20","-",".20",".20",".20",".20"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","4.20","4.20","4.20","2.49","2.49","2.49","4.20","4.14","2.49","2.49"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.30","283.30","283.30","283.30","283.30","283.30","283.30","283.30","283.30","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","-","-","2.16","2.16","-","-","2.16","2.16"
"19","COMMUNICATION","Internet Service","10hrs/m","-","106.00","-","180.00","-","-","106.00","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","-","4698.94","-","4482.90","-","-","4800.00","4800.00","4500.00","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","13.00","12.32","12.00","12.00","12.00","-","12.00","12.00","13.00","14.00"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","-","-","-","-","524.98","-","-","-","424.26","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","-","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","8.00","7.00","8.00","12.00","10.00","10.00","6.00","8.62","10.00","6.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","-","4.00","3.00","-","-","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","-","-","-","-","1375.00","-","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","3.00","4.00","5.00","2.00","3.00","3.87","5.00","5.00","5.00","5.00"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","-","-","-","6.32","5.00","5.00","-","-","-","5.00"
"11","EDUCATION","Pencil (China)","","2.00","1.50","2.00","2.00","2.66","-","2.00","2.00","2.29","-"
"12","EDUCATION","Ball Point-Bic England","","3.00","3.16","3.50","3.50","2.91","3.00","3.50","3.50","3.16","3.00"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","-","-","-","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","-","-","-","-","-","-","-","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","-","-","-","-","30.00","-","-","-","-","77.50"
"16","EDUCATION","School Uniform Fee ","","-","-","-","-","250.00","-","-","-","-","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","-","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","7.69","7.31","7.88","7.88","7.88","7.88","7.88","7.88","7.88","7.88"
"20","PERSONAL CARE","Blade-INDIA","","1.14","1.00","1.00","1.00","1.50","1.00","1.00","1.00","1.31","1.23"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","11.45","11.29","10.00","15.00","4.64","8.88","12.32","7.00","10.00","10.00"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","26.57","25.00","25.00","29.32","-","32.40","22.33","23.21","31.58","25.00"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","7.00","5.00","5.00","10.00","5.65","6.00","5.00","6.00","7.32","10.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","24.31","21.66","22.66","22.66","20.66","20.65","23.66","23.33","21.31","23.00"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","19.35","17.58","18.98","20.07","19.66","20.65","20.35","18.98","21.31","23.00"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","-","-","-","63.29","-","-","63.29","-","85.00","79.70"
"7","P R I C E   I N    B I R R","Perfume  ","1","-","-","-","72.46","-","-","-","-","63.29","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","-","-","-","-","30.79","41.25","-","-","30.76","33.00"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.00","3.00","3.00","3.00","3.00","4.31","3.00","3.00","3.63","3.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","16.00","16.33","15.66","15.00","18.64","18.00","16.00","14.98","15.00","16.00"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","66.63","59.33","60.00","70.00","68.99","68.29","71.63","59.33","70.00","71.63"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","128.31","93.22","103.23","138.31","124.93","75.00","109.70","144.94","150.00","134.81"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","263.04","223.28","206.46","249.87","214.94","-","213.12","213.28","286.51","205.99"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","45.66","56.62","53.28","84.90","-","-","53.13","60.00","48.27","50.00"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","-","-","-","54.85","44.30","-","-","-","-","-"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","-","4080.00","-","4600.00","-","-","-","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","-","6120.00","-","6900.00","-","-","-","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","-","4080.00","-","4600.00","-","-","-","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","-","20400.00","-","23000.00","-","-","-","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","609.61","832.03","746.43","843.16","644.88","479.72","1049.21","726.37","582.85","572.97"
"2","LIVESTOCK","Goat (10-15Kg)","","574.64","632.89","476.22","658.55","576.58","389.41","716.28","636.54","531.33","516.26"
"3","LIVESTOCK","Heifer (2-4 Years)","","2715.95","2680.80","2330.04","3382.76","3218.18","2738.61","2865.14","2366.19","2931.79","2494.66"
"4","LIVESTOCK","Cow (4 Years and Above)","","4615.88","2670.74","3596.29","5249.84","4769.10","4150.00","4261.67","4762.20","3397.00","3128.63"
"5","LIVESTOCK","Bull (2-4 Years)","","2864.83","2823.11","2900.00","4099.19","3351.27","2898.28","3032.97","2500.00","4578.86","2792.85"
"6","LIVESTOCK","Ox (4 Years and Above)","","6177.61","4932.42","6627.16","8264.10","5405.62","4743.42","6763.53","6099.45","8329.95","7380.32"
"7","LIVESTOCK","Hen (Indigenous)","","71.63","66.63","66.63","54.85","29.96","-","64.87","69.88","48.27","57.08"
"8","LIVESTOCK","Cock (Indigenous)","","86.64","74.89","93.22","94.91","43.26","-","84.90","84.90","63.29","71.63"
"9","DRAUGHT ANIMALS","Donkey","","1600.00","1415.31","1397.61","3249.74","1410.96","1574.06","1365.84","2142.77","1327.61","1213.62"
"10","DRAUGHT ANIMALS","Horse","","-","4242.64","-","-","-","-","-","-","-","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","-","9632.53","7230.00","6000.00","7663.09","-","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","-","-","-","-","-","-","53.13","65.00","47.43","-"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","107.47","110.00","87.46","128.31","-","-","94.87","92.47","86.64","80.00"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","70.00","132.48","-","154.95","-","-","74.83","130.00","95.00","-"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","-","-","-","112.47","-","-","-","158.75","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","66.49","-","-","-","67.30","-","32.40","-","36.34","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","-","-","-","7.96","-","14.66","-","8.25","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","113.24","-","113.24","121.64","93.12","115.98","-","90.00","103.23","100.00"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","11.29","10.00","12.00","15.00","-","-","10.00","10.00","16.51","12.00"
