"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welikite","Butajira","Hosahna","Shone","Doyugena","Alaba","Awasa","Hagere- Selam ","Dilla","Yirega-¦ chefie "
"1","CEREALS UNMILLED","'Teff' White ","Kg ","14.37","14.66","15.42","14.16","16.00","15.00","16.55","17.50","17.17","15.90"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","12.66","13.24","13.92","13.16","14.50","14.50","14.75","-","13.16","12.00"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","-","12.21","-","11.00","-","-","12.85","11.50","11.16","-"
"4","CEREALS UNMILLED","Wheat White","Kg ","7.83","8.30","8.00","7.30","7.50","7.50","9.00","7.02","9.49","9.00"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","-","10.47","-","-","-","-","8.00","-","8.14","9.00"
"7","CEREALS UNMILLED","Barley White","Kg ","9.70","7.85","11.00","8.00","7.80","9.00","9.00","6.03","9.65","9.32"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","-","-","-","7.10","-","-","-","-","-","-"
"9","CEREALS UNMILLED","Barley Black","Kg ","9.63","8.33","10.00","8.90","7.80","9.00","8.65","-","10.97","-"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","10.30","-","-","9.00","-","8.00","9.00"
"11","CEREALS UNMILLED","Maize (White)","Kg ","5.76","6.89","6.50","5.77","-","-","6.43","5.57","6.00","5.53"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","8.83","10.67","-","-","-","-","9.80","-","-","-"
"14","CEREALS UNMILLED","Sorghum White","Kg ","-","-","-","-","-","-","10.49","-","-","-"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","6.83","6.67","6.00","-","7.41","4.30","8.00","-","-","-"
"16","CEREALS UNMILLED","African Millet","Kg ","-","14.42","-","-","-","8.00","8.32","-","9.00","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","16.00","15.33","18.00","16.66","16.00","16.00","16.00","16.00","16.00","17.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","17.33","-","-","-","-","-","18.00","17.66","19.00"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","-","-","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","16.00","-","-","-","-","17.17","16.75"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","14.00","15.49","13.00"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","13.00","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","7.18","-","5.47","6.82","9.87","-","-","7.00","7.00","6.50"
"2","P R I C E   I N    B I R R","Oats","Kg ","-","20.00","27.33","22.00","20.98","18.00","-","-","20.00","-"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.00","11.00","11.00","12.00","9.60","10.00","11.66","12.00","10.32","11.00"
"6","PULSES UNMILLED","Horse Beans","Kg ","9.00","7.79","9.00","10.90","7.63","10.00","9.32","8.70","9.00","9.00"
"7","PULSES UNMILLED","Peas White","Kg ","-","9.66","-","-","11.94","-","-","-","-","-"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","11.63","9.70","14.00","-","12.47","12.66","11.66","8.96","10.32","10.00"
"9","PULSES UNMILLED","Peas Mixed","Kg ","-","-","-","13.00","-","-","-","-","-","-"
"10","PULSES UNMILLED","Soya Beans","Kg ","9.07","15.00","-","-","-","-","18.66","-","-","-"
"11","PULSES UNMILLED","Chick Peas","Kg ","8.53","9.46","12.00","13.00","-","12.00","11.00","14.00","11.32","10.66"
"12","PULSES UNMILLED","Lentils","Kg ","18.00","18.00","22.00","22.00","18.00","20.00","18.66","19.31","19.93","-"
"13","PULSES UNMILLED","Haricot Beans","Kg ","6.66","7.50","-","6.00","-","-","11.00","-","10.00","-"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","-","-","-","-","15.00","15.00"
"15","PULSES UNMILLED","Vetch","Kg ","5.53","5.77","-","8.00","-","-","7.00","-","-","-"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","18.64","26.21","33.65","17.33","28.65","28.00","14.66","13.33","16.29","16.00"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","-","-","-","-","-","-","-","-","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","32.33","-","28.66","24.65","-","-","30.00","-","22.65","-"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-","-","-","-","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","27.32","-","26.00","20.00","15.00","20.33","17.66","14.00","22.65","-"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","24.00","-","-","-","-","-","15.00","15.30","-","18.00"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","14.66","18.64","17.66","15.66","16.00","15.00","14.66","14.00","13.00","14.00"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","15.66","16.33","22.00","-","-","16.00","15.33","-","14.66","15.00"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","13.66","13.96","18.00","-","-","13.00","14.00","-","13.66","-"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","24.66","24.33","26.00","25.00","22.00","23.66","23.66","22.00","22.00","24.00"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","12.00","12.00","-","-","-","9.00","11.32","-","-","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","18.00","-","-","-","-","19.00","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","59.33","48.27","51.98","-","35.00","60.00","45.00","-","67.64","60.00"
"4","OIL SEEDS","Niger Seed","Kg ","12.16","16.49","-","-","-","20.00","20.98","-","20.65","-"
"5","OIL SEEDS","Linseed White","Kg ","14.66","-","-","-","-","-","-","-","19.31","-"
"6","OIL SEEDS","Linseed Red","Kg ","14.83","16.42","-","15.00","14.46","20.00","15.33","13.67","-","20.00"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","-","-","-","-","-","-","-","-"
"8","OIL SEEDS","Sunflower","Kg ","14.66","15.00","-","-","-","-","13.66","-","13.30","13.98"
"9","OIL SEEDS","Castor Beans","Kg ","-","9.38","-","-","-","19.37","-","8.87","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","12.00","7.30","10.00","12.83","11.66","10.00","10.32","16.00","10.32","12.00"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","22.33","21.66","35.00","20.33","22.00","24.00","23.66","22.98","20.98","22.00"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","-","28.00","24.00","23.31","24.00","24.00","32.00","30.00","29.32","30.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","28.65","24.65","28.00","20.00","-","30.00","29.33","-","32.00","-"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","16.00","16.00","17.00","17.00","17.00","18.00","16.00","17.33","16.66","18.00"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-","-","-","-","40.00","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-","-","-","22.50","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","-","3.32","4.37","2.99","-","4.44","3.70","4.30","3.66","3.29"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","3.91","-","2.94","-","-","3.00","-","-","4.83","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","-","-","-","-","-","2.25","2.50","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","3.63","5.00","3.50","4.78","3.50","3.89","4.38","3.28","3.39","4.38"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","3.89","-","4.29","4.29","3.21","6.00","5.00","6.00","6.00"
"1","MEAT","Beef ","Kg ","100.00","108.31","120.00","110.00","120.00","121.64","116.57","104.88","106.27","120.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-","18.65","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","-","-","22.00","-","-","-","27.00","-","31.58","-"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","13.11","14.71","10.00","9.09","-","-","12.00","-","18.64","16.00"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","24.00","24.00","-","-","-","10.61","20.00","-","40.00","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","104.97","110.25","130.00","-","-","101.25","132.38","-","121.85","-"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","17.70","14.71","12.00","16.00","-","12.50","20.00","-","18.64","16.00"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","39.77","34.30","26.14","29.17","23.81","21.52","45.00","-","40.00","-"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","22.65","24.00","24.00","25.85","24.00","24.00","30.00","24.00","25.75","25.96"
"13","OILS AND FATS","Butter Unrefined","Kg ","76.92","120.00","130.00","133.31","127.12","126.58","128.31","98.99","116.57","120.00"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","24.33","26.44","26.67","24.00","25.78","24.00","28.33","25.00","25.33","25.88"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","40.00","44.90","-","-","-","-","-","-","31.32","30.99"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","88.89","88.89","97.77","92.77","-","94.44","86.67","81.63","88.14","91.82"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","-","6.35","7.24","2.64","7.46","1.81","1.48","1.11","2.05","5.46"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","5.00","1.85","1.19","3.95","4.09","3.87","3.66","-","4.85","6.98"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","-","4.49","-","-","-","-","12.25","-","10.00","-"
"4","VEGETABLES (FRESH)","Spinach","Kg ","-","4.88","4.92","-","-","-","4.00","-","6.00","-"
"5","VEGETABLES (FRESH)","Carrot","Kg ","10.00","10.50","5.00","6.10","6.00","5.00","3.63","-","6.00","8.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","23.99","16.00","20.00","12.00","8.00","25.00","17.66","-","23.63","28.66"
"7","VEGETABLES (FRESH)","Onions","Kg ","12.00","10.00","11.00","10.32","13.33","12.00","8.00","10.00","9.65","12.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","20.33","15.63","30.00","13.66","40.00","25.00","17.66","-","20.00","22.99"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","-","-","-","-","-","-","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","15.33","6.40","20.00","-","12.32","-","16.66","12.57","12.97","16.33"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","1.33","1.29","-","-","3.00","-","-","-","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","18.64","8.00","-","-","-","-","11.32","-","14.66","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","10.77","4.55","5.00","-","-","4.00","5.00","-","6.00","7.21"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","12.00","10.32","12.00","9.82","6.00","12.00","12.00","6.12","10.00","8.02"
"16","FRUITS FRESH","Orange","Kg ","20.65","22.96","20.00","-","8.00","23.49","18.00","6.68","12.00","-"
"17","FRUITS FRESH","Lemon","Kg ","11.83","6.02","8.00","12.33","13.64","9.11","17.33","13.07","9.28","12.18"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","18.00","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","-","5.52","-","-","-","7.48","9.30","-","-","-"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","12.00","12.00","10.00","6.41","7.00","10.00","15.00","5.82","10.63","9.47"
"22","FRUITS FRESH","Mango","Kg ","13.33","12.00","-","-","-","10.00","12.00","-","12.00","8.83"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","-","-","-","-","-","-"
"1","SPICES","Pepper Whole","Kg ","27.66","35.00","35.65","38.00","-","27.33","40.66","-","30.65","30.99"
"2","SPICES","Black Pepper(Local)","Kg ","183.27","-","323.32","-","-","-","234.96","-","196.61","-"
"3","SPICES","Long Pepper(Local)","Kg ","59.33","-","103.31","60.00","80.00","-","65.99","80.00","71.63","-"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","32.33","38.26","60.00","29.33","25.66","28.00","30.00","26.57","30.00","35.00"
"5","SPICES","Black Cumin(Local)","Kg ","35.00","38.26","60.00","25.33","27.00","30.00","30.00","26.57","30.00","35.00"
"6","SPICES","Ginger Dry(Local)","Kg ","28.96","-","34.32","-","-","-","31.32","-","-","-"
"7","SPICES","Ginger Wet(Local)","Kg ","10.00","10.00","8.00","6.06","-","10.00","7.65","8.83","5.00","6.00"
"8","SPICES","Cloves(Imported)","Kg ","273.29","320.00","283.32","400.00","300.00","399.00","316.63","-","276.63","-"
"9","SPICES","Cinnamon(Imported)","Kg ","79.33","70.00","-","75.00","63.00","68.99","65.00","74.83","64.33","71.63"
"10","SPICES","Cardamon(Local)","Kg ","104.92","120.00","110.00","99.33","-","109.00","110.00","120.00","110.00","120.00"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","24.54","-","-","-","28.00","-","-","30.00","-"
"12","SPICES","Chillies Whole","Kg ","35.00","44.13","40.00","40.00","35.00","50.00","32.33","-","28.65","24.66"
"13","SPICES","Basil Dry","Kg ","35.33","40.00","30.00","24.31","36.00","36.00","28.33","-","29.32","34.32"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","4.64","4.45","5.00","1.16","2.41","3.00","2.66","1.49","4.00","5.38"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","4.96","9.61","-","-","-","3.33","-","-","-"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","3.91","-","3.76","10.77","9.32","5.22","3.23","4.53","4.57"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","33.74","11.49","17.45","14.62","13.77","24.01","15.80","8.11","20.00","-"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","10.21","9.79","15.00","8.54","11.25","12.50","10.00","11.65","10.00","10.82"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","34.33","32.00","10.73","-","-","-","-","25.00","21.66","18.98"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","64.33","59.33","60.00","60.66","59.33","55.00","50.00","60.00","48.32","47.66"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","-","-","-","-","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","17.06","24.24","-","25.13","12.59","21.75","27.53","-","14.00","-"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","-","-","-","35.71","-","-","-","-","33.81","31.83"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","18.31","11.03","13.96","-","-","11.32","-","8.33","-","-"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","15.32","10.00","12.77","-","-","10.00","-","10.00","-","10.32"
"3","OTHER FOOD ITEMS","Salt","Kg ","4.00","5.00","-","4.00","5.00","4.00","5.00","5.00","5.00","5.00"
"4","OTHER FOOD ITEMS","Sugar","Kg ","21.66","15.00","16.25","20.66","16.00","15.00","-","24.33","25.00","27.66"
"5","OTHER FOOD ITEMS","Honey","Kg ","-","65.00","62.44","-","75.00","60.00","75.99","76.63","60.00","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","-","21.71","16.08","16.88","-","-","23.33","-","25.00","-"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","70.00","70.00","72.92","105.00","87.50","105.00","87.50","-","105.00","105.00"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","2.82","2.00","1.00","1.50","1.00","2.00","2.00","1.50","1.82","2.18"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","4.64","5.00","2.00","4.00","3.50","4.00","4.00","3.63","3.91","4.10"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","6.32","6.00","5.00","4.00","3.50","4.31","5.00","3.32","4.83","5.57"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","30.49","27.33","25.00","20.00","18.00","25.00","30.00","20.65","27.59","20.80"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","33.00","30.16","-","-","-","27.00","30.00","23.98","27.59","23.00"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","38.47","38.97","30.00","35.00","-","30.00","40.00","25.96","28.23","28.72"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","20.23","20.80","12.00","10.00","10.00","13.64","19.31","10.63","16.00","15.69"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","33.00","29.80","25.00","25.00","-","27.00","31.32","23.98","30.00","27.39"
"16","COST OF MILLING","Cereals","100Kg ","40.00","25.00","40.00","35.00","40.00","30.00","40.00","50.00","50.00","40.00"
"17","COST OF MILLING","Pulses","100Kg ","-","25.00","40.00","40.00","40.00","25.00","40.00","50.00","50.00","40.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","150.00","125.00","200.00","-","-","200.00","100.00","-","114.47","150.00"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","7.32","7.65","7.00","7.00","7.00","6.00","6.00","6.00","6.65","7.65"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","10.00","8.96","8.00","8.00","6.00","7.00","10.00","6.67","6.66","7.50"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","7.32","7.65","7.00","6.00","7.00","7.00","6.00","6.00","6.83","7.65"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","7.32","7.65","7.00","6.00","7.00","7.00","6.00","6.00","6.83","7.65"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","72.00","73.11","70.00","55.00","-","75.00","67.67","81.63","93.30","75.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","72.00","73.11","-","-","-","75.00","67.67","-","93.30","75.00"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","73.11","-","-","-","75.00","67.67","-","93.30","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","-","73.11","75.00","55.00","-","75.00","67.67","81.63","93.30","75.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","62.00","40.00","50.00","33.00","-","45.00","50.00","40.00","40.00","49.55"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","24.33","-","24.66","29.66","-","25.32","35.39","20.22","-","18.18"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","12.66","-","12.00","-","-","-","10.00","-","10.32","11.43"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","12.66","13.00","12.00","11.00","10.00","10.00","10.00","10.00","10.32","11.43"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","12.66","13.64","12.00","10.00","10.00","10.00","10.00","10.00","10.32","11.43"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","3.33","2.38","3.45","2.35","1.80","2.35","3.90","3.66","3.16","5.83"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","5.77","8.00","7.69","11.05","8.00","9.09","8.00","5.77","7.27","8.33"
"16","CIGARETTES","Nyala","Packet ","15.00","9.33","10.00","10.00","9.00","9.00","10.00","-","10.97","10.00"
"17","CIGARETTES","Gissila","Packet ","-","3.00","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","30.98","40.00","-","-","30.00","-","-","40.00","-"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","46.42","-","25.00","-","50.00","-","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","25.00","-","-","-","-","20.00","-","25.00","-","25.96"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","27.33","25.66","27.66","34.00","47.50","25.00","31.66","30.00","27.66","35.00"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","62.00","-","-","-","-","-","-","-","60.00"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","-","75.00","-","-","-","50.00","72.00","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","25.50","30.00","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","-","40.00","64.33","48.00","-","50.00","58.66","-","43.98","50.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","33.25","45.00","-","-","-","29.66","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","-","-","77.67","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","50.00","-","-","-","-","65.66","-","55.00","-"
"13","CLOTHING","Cotton","Kg ","-","-","-","-","-","-","34.33","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","80.00","-","-","-","-","-","-","85.00"
"16","CLOTHING","Kashemire","Meter ","-","-","-","47.00","-","55.00","61.66","-","-","60.00"
"17","CLOTHING","Deriya","Meter ","-","33.33","60.80","-","-","-","35.00","-","-","-"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","474.56","516.14","-","300.00","-","500.00","700.00","-","648.72","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","299.55","300.00","125.00","139.76","-","180.00","150.00","-","-","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","164.64","-","-","96.55","-","100.00","-","-","-","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","159.79","168.22","250.00","165.00","153.26","150.00","136.65","-","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","286.63","406.47","-","420.00","419.92","354.96","486.58","450.00","416.02","633.21"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","140.00","-","-","-","144.94","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","168.32","193.10","221.65","256.62","224.94","209.33","250.00","239.57","259.62","239.86"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","160.00","175.87","214.96","199.83","-","200.00","250.00","-","222.40","230.00"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","17.66","20.00","17.00","19.31","16.33","25.33","30.00","20.00","41.60","46.61"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","-","-","-","-","-","273.29","-","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","-","-","-","-","-","236.62","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","37.32","28.23","-","33.97","-","-","50.00","25.00","-","28.23"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","48.00","53.28","-","38.99","-","-","-","-","41.60","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","313.30","443.23","450.00","393.22","-","446.64","456.57","-","466.50","473.31"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","536.58","-","-","-","444.97","593.26","-","416.02","-"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","-","280.00","326.66","-","-","-","456.64","-","400.00","-"
