"Regions","CATEGORY","ITEM","UNIT","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE"
"1","READY-MADE / FOR CHILDREN","Sweater (Local) for Boys","No ","-","-","-","-","-","-"
"2","READY-MADE / FOR CHILDREN","Socks (Imported) Cotton","Pair ","-","-","20.33","-","-","-"
"3","READY-MADE / FOR CHILDREN","Jeans Trouser","No ","-","-","-","-","-","-"
"4","READY-MADE / FOR CHILDREN","Shirt Long Sleeved(Imported)Boys","No ","-","-","153.26","-","150.00","47.00"
"5","READY-MADE / FOR CHILDREN","Sweater (England) for Girls","No ","-","-","-","-","-","-"
"6","READY-MADE / FOR CHILDREN","Kemise(for childeren) ","No ","-","-","349.86","-","-","200.00"
"7","READY-MADE / FOR CHILDREN","Baby Cloths(Complete)","No ","-","-","71.63","70.00","-","230.00"
"8","READY-MADE / FOR CHILDREN","T-Shirt","No ","-","-","-","-","-","85.00"
"9","READY-MADE / FOR CHILDREN","Jeans trouser and Jacket","No ","-","-","-","-","168.22","250.00"
"10","FOOTWEAR (MEN AND WOMEN)","Anbessa Leather Shoes Men(Local)Pair ","Anbessa Leather Shoes Men(Local)Pair ","-","-","354.96","-","-","-"
"11","FOOTWEAR (MEN AND WOMEN)","Leather Shoes Men (Croft)","Pair ","-","-","383.30","-","-","-"
"12","FOOTWEAR (MEN AND WOMEN)","Walking Shoes(Imp",") Non-Leather Pair ","-","-","349.90","250.00","296.63","250.00"
"13","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (Local) Men","Pair ","-","-","-","-","-","-"
"14","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (China) Men","Pair ","-","-","-","-","-","144.91"
"15","FOOTWEAR (MEN AND WOMEN)","Plastic Shoes (Local) Women","Pair ","23.98","14.66","-","-","-","25.00"
"16","FOOTWEAR (MEN AND WOMEN)","Slippers Sponge Adult (China)","Pair ","28.33","25.00","35.65","-","25.00","-"
"17","FOOTWEAR (MEN AND WOMEN)","Boots for Men Plastic (Local)","Pair ","-","-","-","-","-","-"
"18","FOOTWEAR (MEN AND WOMEN)","Sendel Plastic Shoes (Imp","Pair ","-","45.00","51.61","78.30","-","-"
"19","FOOTWEAR (MEN AND WOMEN)","Cost of Mending Shoes sole(Men)","Pair ","-","-","38.26","-","-","52.44"
"20","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(China)","Pair ","-","-","203.28","-","-","-"
"21","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(Local)","Pair ","-","-","-","-","-","96.55"
"22","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Local)","Pair ","-","-","156.59","156.59","-","103.23"
"23","FOOTWEAR (MEN AND WOMEN)","Plastic shoe(Childern)","Pair ","-","-","-","-","-","20.00"
"24","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Imported)","Pair ","-","-","-","133.25","-","-"
"25","FOOTWEAR (MEN AND WOMEN)","Shoe sendel(Plastic) Childern","Pair ","-","-","-","-","-","-"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","-","115.00","123.24","130.00","230.00","200.00"
"2","CONSTRUCTION MATERIALS","Lime","","4.80","4.80","5.00","7.00","-","5.20"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","-","-","6.00","-","6.40","-"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","50.00","-","50.00","-","40.00","40.00"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","60.00","-","53.28","60.00","61.62","60.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","-","-","-","-","-","-"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","-","35.00","37.28","45.00","-","46.61"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","148.57","-","160.00","-","150.00","236.48"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","250.00","-","266.66","-","250.00","136.35"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","580.00","-","-","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","-","8.00","-","-","-","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","-","-","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","278.66","-","-","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","-","-","400.00","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","-","-","-","-","-"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","163.05","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","-","-","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","-","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","246.62","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","-","142.86","160.00","-","-","-"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","-","-","160.00","-","-","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","-","-","-","-","-"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","2900.00","-","-","450.00"
"1","WATER","Water","Meter ","-","-","-","-","20.00","-"
"2","FUEL AND POWER","Fire Wood","Meter ","438.97","-","110.33","-","448.99","-"
"3","FUEL AND POWER","Charcoal","","5.18","7.83","-","3.50","6.67","7.04"
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","-","-","13.50","14.00","-","-"
"6","FUEL AND POWER","Diesel","","-","-","16.56","17.25","-","17.49"
"7","FUEL AND POWER","Electric","","-","-",".27","-",".27","-"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","5.00","4.50","-","-","5.00","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","-","-","-","-","-","1000.00"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","-","-","-","-","-","-"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","-","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","-","-","3899.15","-","-","3000.00"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","-","-","-","-","-","2738.61"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","-","-","9000.00","-","-","8746.43"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","-","-","-","-","-","2000.00"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","-","-","-","-","-","3500.00"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","-","-","-","-","-","209.54"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","-","-","-","-","-","246.62"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","-","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","-","-","-","-","-","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","-","-","-","-","-","-"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","-","-","-","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","-","-","92.64","100.00","77.78","-"
"8","EARTHEN WARE","Plastic tile","m","-","-","40.00","44.44","-","-"
"9","EARTHEN WARE","Water Pot","","-","-","-","-","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","-","-","30.00","-","70.00","31.58"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","-","-","80.00","-","-","41.60"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","-","-","-","-","-","-"
"13","EARTHEN WARE","Cup for Coffee (China)","","-","7.00","8.00","-","10.00","5.31"
"14","EARTHEN WARE","Plate Clay (imported)","","-","-","-","-","-","15.00"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","-","-","48.27","-","-","35.00"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","-","10.00","7.00","-","14.30","10.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","-","-","-","-","-","42.43"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","-","-","61.62","-","-","-"
"19","METAL WARE","Electric 'Mitad' Aluminium","","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","-","-","146.65","-","-","-"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","-","35.00","60.00","80.00","-","46.61"
"6","GLASS WARE","Glass for Tea (Duralex)","","-","-","15.00","-","10.00","12.00"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","58.28","75.00","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","2.00","-","-","-","-","-"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","20.66","23.33","19.31","18.64","-","35.00"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","13.28","12.32","10.32","-","11.49","12.32"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","-","-","-","-","-","-"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","-","-","-","-","9.65","-"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","-","-","4.74","-","-","3.58"
"14","HOUSEHOLD OPERATION","Incense","","-","-","136.58","-","62.45","65.00"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50","-",".50",".50",".50",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","-","8.00","9.65","-","10.00","9.32"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","-","-","-","-","-","-"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","-","-","38.26","-","-","-"
"2","DOMESTIC SERVICE","Maid Servant","M","365.93","200.00","382.59","350.00","-","306.52"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","50.00","40.00","76.63","73.19","100.00","66.49"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","-","-","-","-","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","44.80","35.37","44.80","42.00","56.00","18.00"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","22.40","-","24.13","28.00","28.00","18.00"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","10.00","-","10.00","8.94","-","6.93"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","22.40","25.99","22.40","28.00","-","19.36"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.00","4.00","4.00","4.47","-","4.00"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","22.00","20.00","25.65","25.00","-","25.00"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","9.00","12.00","12.00","15.00","-","8.66"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","-","5.24","5.24","8.94","-","5.00"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","-","9.00","10.67","15.00","-","9.80"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","-","3.30","4.00","6.00","10.00","3.46"
"15","MEDICAL CARE","Insulin(Lente)","Butt","-","-","110.00","-","-","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","16.00","15.45","24.00","24.00","16.00","14.45"
"17","MEDICAL CARE","Magnesium Oxide","30 P","-","6.00","15.00","10.00","-","4.90"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-","1.00"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","-","3.00","3.00","3.00","5.00","7.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","-","-","30.00","-","-","10.00"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","-","-","2.00","2.00","-","1.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","-","-","11.45","12.25","21.54","10.00"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","-","-","10.00","-","-","10.00"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","-","90.00","-","-","-"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","-","87.80","-","-","-"
"5","TRANSPORT","Benzene","","-","-","18.86","-","-","19.79"
"6","TRANSPORT","Motor Oil (Mobil)","","-","-","78.33","85.00","-","78.95"
"7","TRANSPORT","Car Washing and Greasing","","-","-","-","-","-","-"
"8","TRANSPORT","Bus Fare (per km)","T","-","-",".40",".40","-","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","1.00","-","-","-"
"10","TRANSPORT","Taxi Fare ","","-","-","2.00","-","-","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","1237.00","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","-","2.00","-","-","-"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-","-","-","-","-",".83"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","4.20","4.15","4.20","4.20","-","2.49"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.30","283.30","283.30","283.30","-","283.00"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","-","-","-","2.49"
"19","COMMUNICATION","Internet Service","10hrs/m","-","-","94.30","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","-","-","-","-","-","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","-","-","15.00","-","-","-"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","-","-","-","-","-","450.00"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","-","-","-","280.00"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","-","-","12.00","-","-","10.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","3.00","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","-","-","-","-","639.95","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","-","2.00","5.00","3.00","10.00","4.22"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","-","-","-","-","-","-"
"11","EDUCATION","Pencil (China)","","-","-","2.00","-","-","2.00"
"12","EDUCATION","Ball Point-Bic England","","-","-","-","-","-","2.50"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","94.73","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","300.00","-","-","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","-","-","100.00","-","-","-"
"16","EDUCATION","School Uniform Fee ","","-","150.00","253.29","320.00","-","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","10.13","9.00","-","-","6.75","-"
"20","PERSONAL CARE","Blade-INDIA","","-","2.00","2.00","1.00","1.00","1.00"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","-","-","30.00","15.00","27.97","6.30"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","-","-","30.00","40.00","-","25.00"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","10.00","10.00","15.00","15.00","20.00","10.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","25.00","24.33","25.00","25.00","30.00","23.00"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","25.00","24.33","-","23.57","-","23.00"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","75.00","-","86.64","75.00","-","-"
"7","P R I C E   I N    B I R R","Perfume  ","1","-","-","-","-","-","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","-","-","-","-","-","-"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","2.00","2.00","2.00","2.00","4.31","3.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","-","25.00","20.00","20.00","16.49","15.00"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","-","-","126.58","-","70.00","60.00"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","-","-","156.59","-","-","-"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","-","-","296.63","-","-","170.00"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","-","-","65.00","-","-","-"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","-","-","-","-","-","-"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","-","-","-","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","-","-","-","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","-","-","-","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","-","-","-","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","792.97","659.95","763.23","833.00","469.93","396.47"
"2","LIVESTOCK","Goat (10-15Kg)","","736.56","516.52","716.28","732.95","513.18","386.53"
"3","LIVESTOCK","Heifer (2-4 Years)","","-","-","2982.13","3782.82","3261.46","3030.79"
"4","LIVESTOCK","Cow (4 Years and Above)","","-","-","8032.37","6516.62","4361.83","5382.97"
"5","LIVESTOCK","Bull (2-4 Years)","","-","-","3331.02","4166.40","5331.88","2981.55"
"6","LIVESTOCK","Ox (4 Years and Above)","","-","-","-","8862.73","11785.15",NA
"7","LIVESTOCK","Hen (Indigenous)","","-","-","46.61","47.43","63.29","43.27"
"8","LIVESTOCK","Cock (Indigenous)","","-","-","71.63","70.00","76.52","83.30"
"9","DRAUGHT ANIMALS","Donkey","","-","-","1846.77","1549.46","3298.99","3181.67"
"10","DRAUGHT ANIMALS","Horse","","-","-","-","-","-","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","-","-","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","-","35.00","43.27","-","-","25.00"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","-","-","93.30","-","-","93.22"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","-","-","-","-","-","100.00"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","-","-","-","-","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","-","-","-","-","-","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","-","-","-","-","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","-","-","96.55","-","-","-"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","-","-","51.61","-","-","-"
